REGION,Date,Basin,Transect,transect code,Land use,Forest degradation class,Point,Sampling Period,Time,Observer,Family,Genus,Species,Binomial,Auditory,Visual,BIRD team if different from Erika,Forest,AERIAL,Nocturnal,Waterbird
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Coerebidae,Coereba,flaveola,Coerebaflaveola,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Columbidae,Leptotila,verreauxi,Leptotilaverreauxi,n/r,n/r,,0,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Psittacidae,Amazona,amazonica,Amazonaamazonica,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Thamnophilidae,Myrmotherula,axillaris,Myrmotherulaaxillaris,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Thamnophilidae,Myrmotherula,menetriesii,Myrmotherulamenetriesii,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Thraupidae,Ramphocelus,carbo,Ramphoceluscarbo,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Thraupidae,Saltator,maximus,Saltatormaximus,n/r,n/r,,0,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,1,6:37,2,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Cardinalidae,Caryothraustes,canadensis,Caryothraustescanadensis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Columbidae,Geotrygon,montana,Geotrygonmontana,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Conopophagidae,Conopophaga,roberti,Conopophagaroberti,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Falconidae,Ibycter,americanus,Ibycteramericanus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thraupidae,Ramphocelus,carbo,Ramphoceluscarbo,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thraupidae,Saltator,maximus,Saltatormaximus,n/r,n/r,,0,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thraupidae,Tangara,gyrola,Tangaragyrola,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thraupidae,Tangara,mexicana,Tangaramexicana,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Thraupidae,Tangara,palmarum,Tangarapalmarum,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Troglodytidae,Pheugopedius,genibarbis,Pheugopediusgenibarbis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Trogonidae,Trogon,rufus,Trogonrufus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Trogonidae,Trogon,viridis,Trogonviridis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Tyrannidae,Ornithion,inerme,Ornithioninerme,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,0,2,7:27,1,Vireonidae,Hylophilus,semicinereus,Hylophilussemicinereus,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Coerebidae,Coereba,flaveola,Coerebaflaveola,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Psittacidae,Amazona,amazonica,Amazonaamazonica,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Ramphastidae,Pteroglossus,aracari,Pteroglossusaracari,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Tyrannoidea,Lophotriccus,galeatus,Lophotriccusgaleatus,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Thamnophilidae,Myrmotherula,menetriesii,Myrmotherulamenetriesii,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Thraupidae,Tangara,punctata,Tangarapunctata,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,28/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,1,6:18,2,Vireonidae,Hylophilus,semicinereus,Hylophilussemicinereus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Cuculidae,Piaya,cayana,Piayacayana,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Falconidae,Ibycter,americanus,Ibycteramericanus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Tyrannoidea,Lophotriccus,galeatus,Lophotriccusgaleatus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Thraupidae,Ramphocelus,carbo,Ramphoceluscarbo,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Trochilidae,Anthracothorax,nigricollis,Anthracothoraxnigricollis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Tyrannidae,Myiopagis,gaimardii,Myiopagisgaimardii,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,150,2,7:44,1,Vireonidae,Cyclarhis,gujanensis,Cyclarhisgujanensis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Cardinalidae,Cyanoloxia,cyanoides,Cyanoloxiacyanoides,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Conopophagidae,Conopophaga,roberti,Conopophagaroberti,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Hirundinidae,Progne,chalybea,Prognechalybea,n/r,n/r,,1,1,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Tyrannoidea,Lophotriccus,galeatus,Lophotriccusgaleatus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Thamnophilidae,Cercomacra,laeta,Cercomacralaeta,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Thamnophilidae,Pyriglena,leuconota,Pyriglenaleuconota,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,1,5:58,2,Troglodytidae,Pheugopedius,genibarbis,Pheugopediusgenibarbis,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Apodidae,Chaetura,spinicaudus,Chaeturaspinicaudus,n/r,n/r,,1,1,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Cathartidae,Cathartes,melambrotus,Cathartesmelambrotus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Tyrannoidea,Lophotriccus,galeatus,Lophotriccusgaleatus,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Thamnophilidae,Cercomacra,cinerascens,Cercomacracinerascens,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Thamnophilidae,Myrmotherula,axillaris,Myrmotherulaaxillaris,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Thraupidae,Ramphocelus,carbo,Ramphoceluscarbo,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Thraupidae,Tangara,gyrola,Tangaragyrola,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Trochilidae,Phaethornis,ruber,Phaethornisruber,n/r,n/r,,1,0,0,0
PGM,29/08/2010,44,1,44_1,Primary forest,Logged and Burnt,300,2,8:07,1,Troglodytidae,Pheugopedius,genibarbis,Pheugopediusgenibarbis,n/r,n/r,,1,0,0,0
PGM,27/08/2010,44,2,44_2,Primary forest,Logged and Burnt,0,1,6:41,1,Hirundinidae,Progne,chalybea,Prognechalybea,n/r,n/r,,1,1,0,0
PGM,27/08/2010,44,2,44_2,Primary forest,Logged and Burnt,0,1,6:41,1,Polioptilidae,Ramphocaenus,melanurus,Ramphocaenusmelanurus,n/r,n/r,,1,0,0,0
PGM,27/08/2010,44,2,44_2,Primary forest,Logged and Burnt,0,1,6:41,1,Tyrannoidea,Tolmomyias,flaviventris,Tolmomyiasflaviventris,n/r,n/r,,0,0,0,0
