Region,Catchment,Transect,Transectcode,UTM_X,UTM_Y,Land-useclass,Forest type,Productiontype,LU_FT_Code,Bird_LU_FT_Code,ReasonsforGeneralexceptions,Generalexceptions,Catchmentexceptions,no_insectsample,no_birdsample,LU_change,Buffersize(pixels),reg_age,reg_fire,reg_fire_age,NumberLogC,NumberBurnC,deg_full,def_age,total_arable,EDGE2_DIST_MEAN,ed1_1km,foresttype1_1km,UPF_foresttype1_1km,MF_FCCP_500mbuffer,CANOPY,DUFF,SPECIES,AGB_Trees10,AGB_DeadTREES10,AGB_CWD,AGB_FWD,AGB_LeafLitter,UND_DEN,WOOD_DEN,DAMAGED,pH_ALL,SILT_ALL,CLAY_ALL,C_0_30,C_N,PC1soilnutALL,PC2soilnutALL,PC1soilnutFOR,PC2soilnutFOR,PC1soilnutPF,PC2soilnutPF,PC1soilnutOPEN,PC2soilnutOPEN,ELEV_MEAN,SLOPE_MEAN
STM,103,1,103_1,730352,9705652,Abandoned plantation,,,AP,AP,,,,,,,82,NA,NA,NA,NA,NA,NA,>20,0,2550.3,15.67,31.31,0.47,0.35,10.76,6.65,32,193.65,2.49,4.17,1.42,8.39,3460,0.49,10,3.86,194.07,782.86,66.34,13.91,0.93,-1.57,NA,NA,NA,NA,-2.41,-3.25,168.4,1.25
STM,103,2,103_2,729806,9701458,Secondary_forest,Intermediate,,SFinter,SFinter,,,,,,,79,16.5,0,0,NA,NA,NA,>20,NA,427.5,22.07,36.74,73.69,0.17,9.58,0.88,86,35.29,0.16,1.84,1.03,11.61,6200,0.59,3,4.53,176.13,794.67,59.38,11.7,-1.23,0.73,-0.68,-3.21,NA,NA,NA,NA,150.6,1
STM,103,3,103_3,729758,9703154,Secondary_forest,Old,,SFold,SFold,,,,,,,75,>20,0,0,NA,NA,NA,>20,NA,1542.6,35.17,38.77,0,0.29,12.95,3.42,73,135.84,2.08,10.78,2.25,6.57,3300,0.57,29,3.85,146.2,818.67,63.49,12.52,0.64,-1.33,1.34,0.27,NA,NA,NA,NA,170.7,2.23
STM,103,4,103_4,732165,9703776,Pasture,,,PA,PA,,,,,,,83,NA,NA,NA,NA,NA,NA,>20,0,2715.2,21.58,25.79,0,0.15,100,0,1,0,0,1.82,1.33,0,20,0,0,4.58,165.73,813.33,54.09,12.47,-0.27,0.46,NA,NA,NA,NA,-0.92,-0.43,168.1,2.4
STM,103,5,103_5,733822,9706479,Secondary_forest,Intermediate,,SFinter,SFinter,,,,,,,77,8,0,0,NA,NA,NA,>20,NA,3269.1,25.12,23.08,0,0.28,6.15,3.39,55,43.41,0.08,1.74,0.37,10.52,4640,0.5,8,4.16,200.8,773.33,58.66,12.35,-0.45,-0.37,0.52,-1.21,NA,NA,NA,NA,169.1,1.2
STM,103,7,103_7,729736,9709990,Abandoned plantation,,,AP,AP,,,,,,,77,NA,NA,NA,NA,NA,NA,9.58,0,52.8,35.8,53.23,86.37,0.12,12.04,2.47,50,295.5,0.72,1.72,3.28,9.43,2000,0.54,8,4.13,302.27,458.67,158.43,17,2.63,-0.7,NA,NA,NA,NA,-3.74,-2.94,186.1,1.61
STM,103,8,103_8,736485,9708157,Secondary_forest,Old,,SFold,SFold,,,,,,,78,>20,0,0,NA,NA,NA,>20,NA,1395.4,13.25,21.29,0,-0.15,14.33,2.07,90,192.1,0.33,7.32,2.03,8.52,3720,0.53,25,4.03,165.73,813.33,63.29,12.19,-0.15,-0.95,0.97,-1.49,NA,NA,NA,NA,172.3,2.18
STM,103,9,103_9,735979,9705464,Secondary_forest,Intermediate,,SFinter,SFinter,,,,,,,75,6,0,0,NA,NA,NA,>20,NA,1903.8,24.54,27.48,0,0.24,100,0.75,9,0,0,0,0,4.32,700,0,0,4.86,228.87,681.33,59.2,11.42,-3.36,0.03,1.05,-6.24,NA,NA,NA,NA,154.1,0.73
STM,112,1,112_1,778047,9698829,Mechanisd_agriculture,,,MA,MA,,,,,,,76,NA,NA,NA,NA,NA,NA,>20,9,600.1,11.44,12.82,48.25,0.19,100,0,0,0,0,0,0,0,0,0,0,4.89,186.8,764,45.5,11.41,-1.9,0.7,NA,NA,NA,NA,0.47,0.22,139,6.55
STM,112,11,112_11,779979,9703892,Mechanisd_agriculture,,,MA,MA,,,,,,,75,NA,NA,NA,NA,NA,NA,>20,6,711.5,10.52,11.58,85.59,0.38,100,0,0,0,0,0,0,0,0,0,0,4.89,168.2,801.33,46.42,10.96,-3.79,-0.35,NA,NA,NA,NA,1.84,-0.53,131.5,0.28
STM,112,12,112_12,783365,9702074,Primary_forest,Logged,,PFlog,PFlog,,,,,,,79,NA,NA,NA,1,0,1.27,NA,NA,316.2,19.51,62.5,93.19,0.05,11.09,2.69,99,198.85,1.31,22.06,1.05,7.8,2600,0.59,18,3.93,137.2,800,56.02,10.78,0.73,0.12,-0.49,0.25,-0.99,-0.72,NA,NA,139,1.76
STM,112,2,112_2,777998,9697423,Fruiticulture,,"Lime, Orange and Tangerine",FRU,FRU,,,,,,,83,NA,NA,NA,NA,NA,NA,>20,0,548.6,16.55,19.83,34.25,0.25,100,0.19,8,2.24,0,0,0,7.06,3220,0.39,0,4.48,156.93,774.67,61.53,12.42,0.44,1.3,NA,NA,NA,NA,-1.37,0.28,154.4,5.01
STM,112,3,112_3,781090,9695965,Secondary_forest,Old,,SFold,SFold,,,,,,,78,>20,0,0,NA,NA,NA,>20,NA,290.2,16.33,37.39,43.37,-0.06,12.15,1.87,96,85.46,0.99,17.87,0.6,9.86,4420,0.47,56,4.33,117.8,797.33,59.15,11,0.8,1.87,-2.88,-0.32,NA,NA,NA,NA,163.4,4.02
STM,112,4,112_4,782514,9698848,Secondary_forest,Young,,SFyoung,SFyoung,,,,,,,76,2,0,0,NA,NA,NA,10.34,NA,358.1,7.58,9.27,77.42,0.19,50.9,0.95,18,0.2,0.19,25.35,0,3.16,4120,0.33,0,4.81,147.93,792,63.8,12.05,-0.82,2.05,-2.61,-3.05,NA,NA,NA,NA,143.9,4.93
STM,112,5,112_5,781786,9696704,Pasture,,,PA,PA,,,,,,,76,NA,NA,NA,NA,NA,NA,>20,0,461.7,16.55,26.74,80.63,0.33,100,0,0,0,0,8.57,0,0,0,0,0,4.65,128.67,829.33,52.51,11.97,0.46,1.23,NA,NA,NA,NA,-1.37,0.34,151.9,4.01
STM,112,6,112_6,781264,9698879,Secondary_forest,Old,,SFold,SFold,Mixed PF and SF ,1,,,,,70,>20,0,0,NA,NA,NA,>20,NA,73.3,16.26,28.13,44.54,0.18,7.76,2.11,124,204.74,0.38,13.82,4.21,8.25,3260,0.57,22,3.81,125.47,760,56.38,11.54,0.7,-0.22,-0.14,0.39,NA,NA,NA,NA,106.1,7.02
STM,112,7,112_7,778700,9697042,Pasture,,,PA,PA,,,,,,,77,NA,NA,NA,NA,NA,NA,>20,5,579,13.47,21.72,47.25,0.27,100,0,0,0,0,0,0,0,0,0,0,6.4,253.53,653.33,58.5,10.73,-11.08,-1.99,NA,NA,NA,NA,7.68,-1.16,147.3,2.03
STM,112,8,112_8,778483,9702027,Primary_forest,Logged,,PFlog,PFlog,,,,,,,76,NA,NA,NA,1,0,2.67,NA,NA,88.1,21.1,49.05,61.22,-0.06,8.38,3.23,145,216.37,3.89,43.1,4.16,7,3380,0.63,22,3.81,129.27,818.67,66.85,12.4,0.37,-1.12,1.24,0.25,0.79,-0.09,NA,NA,143.4,10.33
STM,112,9,112_9,778757,9700198,Fruiticulture,,Orange,FRU,FRU,,,,,,,76,NA,NA,NA,NA,NA,NA,>20,1,696.9,12.16,14.39,59.27,0.28,100,0,3,0.22,0,0,0,2.97,2500,0.74,0,4.95,222.07,732,47.74,11.01,-0.02,1.75,NA,NA,NA,NA,-0.92,0.79,139.5,3.46
STM,125,10,125_10,768385,9688539,Primary_forest,Burnt,,PFbur,PFbur,,,,,,,79,NA,NA,NA,0,1,0,NA,NA,75.6,14.79,70.56,83.66,0.04,9.25,5.91,101,349.17,2.13,29.24,2.29,11.9,3300,0.68,19,3.73,145.07,737.33,59.59,12.41,-0.01,-1.72,2.08,-0.31,1.95,-0.08,NA,NA,145.8,10.65
STM,125,12,125_12,764038,9698314,Mechanisd_agriculture,,,MA,MA,,,,,,,77,NA,NA,NA,NA,NA,NA,>20,7,1858.8,4.95,3.11,21.6,0.31,100,0,0,0,0,0,0,4.13,0,0,0,5.17,218.8,768,46.85,10.78,-4.35,0.29,NA,NA,NA,NA,2.48,0.23,130.8,2.06
STM,125,2,125_2,766031,9698389,Mechanisd_agriculture,,,MA,MA,,,,,,,78,NA,NA,NA,NA,NA,NA,>20,8,1694.3,3.98,3.31,1.5,0.25,100,0,0,0,0,0,0,0,0,0,0,4.93,434.87,546.67,49.37,11.93,-1.42,1.73,NA,NA,NA,NA,0.29,1.18,142.3,0.49
STM,125,3,125_3,767942,9696965,Pasture,,,PA,PA,,,,,,,78,NA,NA,NA,NA,NA,NA,>20,0,584.5,16.17,17.76,40.84,-0.17,100,0,0,0,0,0,0,4.38,0,0,0,4.36,175.2,802.67,58.4,12.77,-0.74,-0.11,NA,NA,NA,NA,-0.51,-0.55,103.7,5.49
STM,125,5,125_5,766033,9696766,Secondary_forest,Intermediate,,SFinter,SFinter,,,,,,,79,6,0,0,NA,NA,NA,>20,NA,1234.6,10.05,12.75,4.68,0.28,10.28,9.76,65,43.17,1.06,0.79,1.83,10.61,5120,0.55,7,4.43,241,718.67,52.49,11.97,0.87,1.46,-2.48,-0.3,NA,NA,NA,NA,118.4,4.09
STM,125,6,125_6,763169,9696303,Secondary_forest,Old,,SFold,SFold,,,,,,,77,>20,0,0,NA,NA,NA,>20,NA,384.8,19.95,22.53,10.94,0.22,9.69,6.66,88,47.34,0.08,5.22,0.31,9.67,4480,0.48,17,4.55,256.67,718.67,47.65,10.94,0.67,2.01,-3.1,-0.54,NA,NA,NA,NA,136,1.24
STM,125,8,125_8,769255,9690534,Mechanisd_agriculture,,,MA,MA,,,,,,,78,NA,NA,NA,NA,NA,NA,>20,5,369.7,15.08,45.03,92.88,0.1,100,0,0,0,0,0,0,0,0,0,0,4.65,187.8,794.67,42.19,11.11,-2.78,0.18,NA,NA,NA,NA,1.21,-0.01,146.7,1.77
STM,125,9,125_9,770348,9689782,Primary_forest,Logged,,PFlog,PFlog,,,,,,,75,NA,NA,NA,1,0,0,NA,NA,204.7,12.83,58.4,98.8,-0.06,7.61,4.91,140,152.86,0.91,67.47,1.94,12.05,4160,0.6,39,4.04,119.07,825.33,50.13,10.73,0.14,-0.15,0.03,-0.63,-0.32,-2.08,NA,NA,154.1,3.22
STM,129,10,129_10,747189,9698470,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,78,NA,NA,NA,1,1,1.35,NA,NA,75.3,22.92,27.31,70.12,0.15,14.4,1.62,81,75.01,2.75,0.82,1.18,7.63,2060,0.48,8,4.34,143.13,794.67,58.35,11.57,0.14,0.76,-1.29,-0.96,-1.86,-3.28,NA,NA,113,3.18
STM,129,11,129_11,746157,9700732,Secondary_forest,Old,,SFold,SFold,,,,,,,84,>20,1,8,NA,NA,NA,>20,NA,75.9,32.28,43.69,57.68,0.2,8.54,1.19,70,82.84,1.09,6.57,1.68,9.11,2560,0.51,7,4.6,180.4,754.67,60.59,11.97,-0.16,0.42,-0.9,-1.37,NA,NA,NA,NA,119.9,3.73
STM,129,12,129_12,747647,9695809,Mechanisd_agriculture,,,MA,MA,,,,,,,80,NA,NA,NA,NA,NA,NA,>20,5,278.7,20.4,25.35,42.06,0.14,100,0,0,0,0,0,0,0,0,0,0,5.08,221.33,725.33,53.35,12.13,-3.21,1.12,NA,NA,NA,NA,1.61,0.65,129.7,2.79
STM,129,2,129_2,748761,9695667,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,Mixed PF and SF ,1,,,,,76,NA,NA,NA,NA,NA,16.67,NA,NA,494.1,15.68,38.56,6.03,0.13,10.13,1.32,101,116.35,0.64,8.17,2.03,11.79,4040,0.56,31,4.21,145.6,700,56.24,11.78,1.15,0.13,-0.77,0.42,-1.11,-0.86,NA,NA,108.4,4.61
STM,129,3,129_3,747562,9694642,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,Mixed PF and SF ,1,,,,,79,NA,NA,NA,NA,NA,37.5,NA,NA,198.5,33.52,45.45,16.6,-0.05,6.13,7.58,76,76.53,0.87,7.24,2.09,9.42,3140,0.53,10,4.38,158.8,778.67,56.42,11.7,0.09,0.81,-1.44,-1.33,-1.84,-3.95,NA,NA,157.4,3.15
STM,129,5,129_5,750316,9699748,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,79,NA,NA,NA,1,1,0,NA,NA,180.9,22.1,41.36,24.83,-0.17,7.92,0.92,106,114.02,0.63,18.61,1.91,9.06,2960,0.52,23,4.07,150.8,582.67,41.32,10.85,1.6,0.97,-1.78,1.44,-2.62,0.34,NA,NA,96.7,6.34
STM,129,6,129_6,749073,9697772,Pasture,,,PA,MA,,,,,,1,76,NA,NA,NA,NA,NA,NA,>20,1,459.4,13.32,14.17,68.67,0.44,100,0.26,3,0,0,0,0,3.34,260,0,0,4.72,266.27,642.67,57.18,11.91,1.13,1.34,NA,NA,NA,NA,-1.95,0.18,96.6,5
STM,129,7,129_7,750351,9698208,Pasture,,,PA,PA,,,,,,,77,NA,NA,NA,NA,NA,NA,>20,4,440.1,12.58,17.42,71.1,0.35,100,0,0,0,0,0,0,0,0,0,0,5.88,89.47,198.67,53.04,14.4,-4.94,1.45,NA,NA,NA,NA,3.11,1.21,73.2,1.56
STM,129,8,129_8,751858,9698803,Pasture,,,PA,PA,,,,,,,79,NA,NA,NA,NA,NA,NA,>20,0,203.9,14.5,26.24,70.38,0.35,100,0,1,0,0,0,0,0,0,0,0,4.51,128.67,312,39.82,13.5,0.53,0.85,NA,NA,NA,NA,-1.45,0.12,77.9,5.63
STM,129,9,129_9,749771,9701198,Mechanisd_agriculture,,,MA,MA,,,,,,,83,NA,NA,NA,NA,NA,NA,>20,4,306.8,23.09,38.79,35.8,-0.12,100,0.26,0,0,0,0,0,4.23,0,0,0,5.22,190.73,726.67,54.66,13.53,-1.13,1.53,NA,NA,NA,NA,-0.03,0.83,113.6,3.15
STM,157,1,157_1,784055,9687461,Secondary_forest,Old,,SFold,SFold,,,,,,,79,>20,0,0,NA,NA,NA,>20,NA,82.2,8.06,88.77,51.83,0.02,4.67,3.67,122,259.27,2,155.47,3.95,8.9,3440,0.59,20,4.09,151,812,53.76,10.51,0.33,0.04,-0.27,-0.76,NA,NA,NA,NA,153.6,5.15
STM,157,11,157_11,781928,9685767,Small-holder_agriculture,,,SHA,SHA,,,,,,,83,NA,NA,NA,NA,NA,NA,>20,0,269.1,26.59,48.13,80.67,0.3,100,0,3,0,0,13.39,2.67,7.39,140,0,0,4.87,224.6,722.67,51.83,11.08,-3.56,0,NA,NA,NA,NA,1.78,-0.16,142.1,5.74
STM,157,2,157_2,781895,9686683,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,82,NA,NA,NA,1,1,3.9,NA,NA,80.5,28.69,65.38,64.8,0.12,13.52,4.93,148,115.07,2.99,32.16,1.31,7.85,3480,0.61,60,4.09,172.93,720,45.84,10.21,0.36,0.68,-1.22,-0.92,-1.45,-2.98,NA,NA,131.3,4.77
STM,157,3,157_3,779789,9686500,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,85,NA,NA,NA,1,1,0,NA,NA,349.9,12.04,84.53,95.66,-0.05,8.48,6.3,144,238.8,1.84,39.53,3.24,6.91,3340,0.57,38,4.12,209.93,765.33,56.12,10.41,1.12,0.8,-1.69,0.17,-2.19,-1.84,NA,NA,150.4,3.77
STM,157,4,157_4,779556,9688296,Primary_forest,Logged,,PFlog,PFlog,,,,,,,79,NA,NA,NA,1,0,0,NA,NA,393.2,8.68,96.15,94.59,0,9.14,3.47,101,424.12,0.31,19.74,1.11,10.57,2620,0.71,6,3.92,174.93,798.67,49.7,11.31,-0.85,-1.67,2.38,-1.21,2.24,-0.77,NA,NA,130,7.97
