"Region","Catchment","Transect","Transectcode","UTM_X","UTM_Y","LU_FT_Code","AGB_Trees10","carbon_stock","non_zero","Longitude","Latitude","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","propertysize","SFAgepx","SFls","TSDls","UPFpx"
"STM","103",1,"103_1",730352,9705652,"AP","193.65",96.825,1,-54.9281173748277,-2.66128930669085,34386.18359375,1533.83801269531,213.565322875977,0,213.565322875977,0.170612245798111,0.666666686534882,168.851654052734,170.432373046875,193.113418579102,0.540408134460449,10839.5048828125,16.1111106872559,0.504489779472351,30.9942855834961,0
"STM","103",2,"103_2",729806,9701458,"SFinter","35.29",17.645,1,-54.9329625369473,-2.69921633497105,37686.5859375,2412.79272460938,1181.91198730469,0,0,0,0,158.80241394043,170.351470947266,191.57502746582,0.0873469412326813,10839.5048828125,3.44444441795349,0.142040818929672,15.6375513076782,0
"STM","103",3,"103_3",729758,9703154,"SFold","135.84",67.92,1,-54.933419932271,-2.6838832150894,36509.19921875,2520.64038085938,423.206756591797,0,199.925918579102,0.164897963404655,0.444444447755814,164.215866088867,170.470657348633,191.933395385742,0.538775503635406,10839.5048828125,0,0.243265300989151,144.340408325195,1
"STM","103",4,"103_4",732165,9703776,"PA","0",0,0,-54.9117891021947,-2.67822270852529,34392.2890625,304.689056396484,322.831420898438,0,0,0,0,163.277648925781,169.772842407227,194.421569824219,0.138775512576103,10839.5048828125,0,0.00653061224147677,39.1428565979004,0
"STM","103",5,"103_5",733822,9706479,"SFinter","43.41",21.705,1,-54.8969334328967,-2.65375931816162,31312.984375,1564.30163574219,444.525939941406,0,0,0,0,167.127075195312,169.296615600586,196.915985107422,0.253061234951019,5500.1201171875,0,0.170612245798111,39.9493865966797,0
"STM","103",7,"103_7",729736,9709990,"AP","295.5",147.75,1,-54.9337203648732,-2.62207793046384,32081.6953125,2345.10766601562,622.401245117188,0,332.764373779297,0.22122448682785,0,176.356185913086,171.025177001953,192.205596923828,0.805714309215546,5529.4306640625,0,0.129795923829079,217.31428527832,1
"STM","103",8,"103_8",736485,9708157,"SFold","192.1",96.05,1,-54.8730185009334,-2.63854761233359,28245.94921875,1256.55822753906,1083.857421875,0,126.335571289062,0.0653061196208,0,167.909774780273,168.466690063477,198.980606079102,0.34448978304863,5523.38232421875,0,0.0155102042481303,100.571426391602,1
"STM","103",9,"103_9",735979,9705464,"SFinter","0",0,0,-54.8775259423428,-2.66290249115756,30620.326171875,637.818115234375,294.683563232422,0,0,0,0,159.907455444336,168.579544067383,198.760559082031,0.203265309333801,12.0111694335938,0,0.0775510221719742,42.5526542663574,0
"STM","112",1,"112_1",778047,9698829,"MA","0",0,0,-54.4992539962544,-2.72215944674243,37465.59375,1284.95007324219,334.428894042969,0,0,0.00244897953234613,0,137.564498901367,163.264892578125,199.205596923828,0.133061230182648,253.811080932617,0,0.0416326522827148,29.6522445678711,0
"STM","112",11,"112_11",779979,9703892,"MA","0",0,0,-54.4819831422873,-2.67636209734765,34878.31640625,1360.08850097656,313.041625976562,0,0,0,0,134.858642578125,163.943206787109,194.655639648438,0.00244897953234613,387.505462646484,0,0.00571428565308452,0.14857143163681,0
