"Region","Catchment","Transect","Transectcode","Group","Binomial","UTM_X","UTM_Y","Longitude","Latitude","LU_FT_Code"
"PGM","274","6","274_6","Trees","Abaremacochleata",239824.99,9643275.91,-47.341158284012,-3.2246542619822,"PFlogbur"
"PGM","369","3","369_3","Trees","Abaremacochleata",184173.01,9629559.73,-47.8419096214712,-3.34731089047676,"PFlog"
"STM","103","1","103_1","Trees","Abaremacochleata",730352,9705652,-54.9281173748277,-2.66128930669085,"AP"
"STM","112","12","112_12","Trees","Abaremacochleata",783365,9702074,-54.4515169178383,-2.69273015257551,"PFlog"
"STM","160","9","160_9","Trees","Abaremacochleata",739363,9689969,-54.846853748148,-2.80293473310009,"PFlogbur"
"STM","165","1","165_1","Trees","Abaremacochleata",719111,9688900,-55.0289348485788,-2.81292273187611,"PFlogbur"
"STM","199","6","199_6","Trees","Abaremacochleata",743859,9680563,-54.8062697429415,-2.8878934478624,"SFold"
"STM","236","6","236_6","Trees","Abaremacochleata",748788,9669959,-54.7617606514954,-2.98366809206538,"PFlog"
"STM","236","7","236_7","Trees","Abaremacochleata",753908,9672539,-54.7157705621059,-2.96025019412649,"PFlog"
"STM","307","2","307_2","Trees","Abaremacochleata",738656,9650303,-54.8525146533619,-3.16155380563684,"PFlogbur"
"STM","357","2","357_2","Trees","Abaremacochleata",732012,9634408,-54.9119778895253,-3.30538265321255,"PFlogbur"
"STM","357","9","357_9","Trees","Abaremacochleata",734154,9639054,-54.8927975214793,-3.26333793644606,"SFinter"
"STM","363","8","363_8","Trees","Abaremacochleata",725295,9631802,-54.9723545076416,-3.32907011617893,"PFund"
"STM","399","7","399_7","Trees","Abaremacochleata",739702,9620667,-54.8425297241038,-3.42946021261033,"PFlog"
"STM","399","9","399_9","Trees","Abaremacochleata",737588,9618775,-54.8615099850785,-3.44660799183252,"PFund"
"STM","81","15","81_15","Trees","Abaremacochleata",781706,9705956,-54.4664995842736,-2.65767507159097,"PFlog"
"STM","81","9","81_9","Trees","Abaremacochleata",773766,9712153,-54.537972238125,-2.6018073243236,"PFlogbur"
"STM","99","10","99_10","Trees","Abaremacochleata",763630,9705083,-54.6289527288012,-2.66589087060144,"SFinter"
"STM","99","7","99_7","Trees","Abaremacochleata",759616,9704334,-54.6650209169254,-2.67273084545674,"SFold"
"STM","ExtraSTM","4","ExtraSTM_4","Trees","Abaremacochleata",725976,9682714,-54.9671070056495,-2.86874610272497,"PFund"
"STM","261","2","261_2","Trees","Abaremafloribunda",725072,9662198,-54.9748989881093,-3.05425362301643,"PFlog"
"STM","363","2","363_2","Trees","Abaremafloribunda",727196,9636742,-54.9553444095833,-3.28437104078331,"PFbur"
"PGM","100","10","100_10","Trees","Abaremajupunba",178054.35,9697314.01,-47.895285885706,-2.73496038217493,"SFyoung"
"PGM","100","5","100_5","Trees","Abaremajupunba",181103.12,9694343.75,-47.86795535461,-2.76186491865803,"PFlog"
