"id","propertysize","dominant","catchment","region","profit","profit_ha","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","SFAgepx","SFls","TSDls","UPFpx"
47,300,"Mixed","399","STM",127739.7937,425.799312333333,114323.4609375,48.1771011352539,851.452575683594,0,70.4495468139648,0.178775504231453,0,91.4830703735352,163.565673828125,191.215057373047,0.812244892120361,0,0.21387754380703,199.248168945312,1
48,10,"Annual","69","STM",8069.682585,806.9682585,13994.736328125,232.091873168945,601.421936035156,0,99.5310897827148,0,0,108.841018676758,165.571151733398,195.519134521484,0.140408158302307,0,0.0604081638157368,24.3453063964844,1
50,11,"Other","69","STM",1119.682585,101.789325909091,13994.736328125,232.091873168945,601.421936035156,0,99.5310897827148,0,0,108.841018676758,165.571151733398,195.519134521484,0.140408158302307,0,0.0604081638157368,24.3453063964844,1
51,100,"Cattlebeef","399","STM",2653.282585,26.53282585,116844.4609375,1057.02893066406,2024.00830078125,0,290.924163818359,0.133061230182648,0.666666686534882,114.052864074707,162.977615356445,191.298477172852,0.944489777088165,0,0.0751020386815071,265.195922851562,1
53,100,"Cattlebeef","399","STM",1565.682585,15.65682585,109557.5390625,1931.54553222656,879.859619140625,0,243.709732055664,0.160816326737404,1,151.3330078125,162.589660644531,191.06755065918,0.78204083442688,0,0,224.343673706055,1
54,100,"Soy","399","STM",5295.682585,52.95682585,114702.015625,1654.55395507812,290.346496582031,0,0,0,0,142.607238769531,162.916473388672,191.164489746094,0.210612237453461,0,0.368979603052139,21.5036735534668,0
57,73.2,"Annual","235","PGM",22520.15873,307.652441666667,11614.251953125,1497.84289550781,774.765869140625,0,0,0,0,154.338272094727,136.904205322266,200.70329284668,0.0236734692007303,0,0.019591836258769,0.636734664440155,0
59,100,"Cattlebeef","399","STM",1804.037071,18.04037071,114702.015625,1654.55395507812,290.346496582031,0,0,0,0,142.607238769531,162.916473388672,191.164489746094,0.210612237453461,0,0.368979603052139,21.5036735534668,0
60,100,"Annual","399","STM",2040,20.4,114702.015625,1654.55395507812,290.346496582031,0,0,0,0,142.607238769531,162.916473388672,191.164489746094,0.210612237453461,0,0.368979603052139,21.5036735534668,0
61,55.4,"Cattlebeef","547","PGM",-1978.204082,-35.7076549097473,110641.0703125,2782.69409179688,258.138580322266,0,364.703094482422,0.118367344141006,0,183.343963623047,137.487167358398,197.2470703125,0.984489798545837,0,0.0146938776597381,252.481628417969,1
62,100,"Mixed","547","PGM",5334.206202,53.34206202,118051.765625,844.7978515625,246.957595825195,0,0,0,0,109.999458312988,137.269958496094,198.930953979492,0.000816326530184597,0,0,0.00163265306036919,0
63,75.6,"Cattlebeef","547","PGM",5260.710204,69.5861138095238,111543.3671875,2086.03125,335.593536376953,0,0,0,0,140,136.42903137207,199.256881713867,0.128163263201714,0,0.0228571426123381,4.08979606628418,0
64,100,"Mixed","399","STM",15525.52386,155.2552386,109375.1953125,677.7255859375,762.095153808594,0,101.418952941895,0.223673462867737,0,139.571563720703,163.70703125,191.342315673828,0.955102026462555,0,0.175510197877884,242.155914306641,1
65,30,"Mixed","547","PGM",39700,1323.33333333333,110143.9296875,299.37109375,361.893127441406,0,117.075393676758,0.14857143163681,0,130.599609375,137.100112915039,198.404357910156,0.730612218379974,0,0.133061230182648,153.47673034668,1
66,100,"Animalother","399","STM",14680.856,146.80856,116844.4609375,1057.02893066406,2024.00830078125,0,290.924163818359,0.133061230182648,0.666666686534882,114.052864074707,162.977615356445,191.298477172852,0.944489777088165,0,0.0751020386815071,265.195922851562,1
67,100,"Annual","399","STM",3526.156508,35.26156508,109557.5390625,1931.54553222656,879.859619140625,0,243.709732055664,0.160816326737404,1,151.3330078125,162.589660644531,191.06755065918,0.78204083442688,0,0,224.343673706055,1
68,2,"Mixed","69","STM",999.6825855,499.84129275,11394.677734375,690.967712402344,245.484313964844,0,183.765197753906,0.139591842889786,0.333333343267441,134.768890380859,165.821105957031,194.704116821289,0.591836750507355,0,0.266938775777817,111.537956237793,1
69,200,"Soy","399","STM",804.6825855,4.0234129275,114323.4609375,48.1771011352539,851.452575683594,0,70.4495468139648,0.178775504231453,0,91.4830703735352,163.565673828125,191.215057373047,0.812244892120361,0,0.21387754380703,199.248168945312,1
70,130,"Cattlebeef","547","PGM",18019.9366,138.614896923077,109386.5859375,497.493713378906,230.623947143555,0,0,0.0889795944094658,0,110.760719299316,136.720993041992,198.297500610352,0.364897966384888,0,0.0897959172725677,93.0465316772461,0
71,100,"Cattlebeef","399","STM",2886.992109,28.86992109,112731.28125,1332.57653808594,1045.11462402344,0,200.889175415039,0.121632650494576,0.555555582046509,141.824645996094,162.552947998047,191.031753540039,0.682448983192444,0,0.266122460365295,179.299591064453,1
72,100,"Mixed","399","STM",1119.682585,11.19682585,114323.4609375,48.1771011352539,851.452575683594,0,70.4495468139648,0.178775504231453,0,91.4830703735352,163.565673828125,191.215057373047,0.812244892120361,0,0.21387754380703,199.248168945312,1
73,100,"Animalother","399","STM",-25233.82599,-252.3382599,116844.4609375,1057.02893066406,2024.00830078125,0,290.924163818359,0.133061230182648,0.666666686534882,114.052864074707,162.977615356445,191.298477172852,0.944489777088165,0,0.0751020386815071,265.195922851562,1
74,575,"Mixed","547","PGM",117557.7164,204.448202434783,111543.3671875,2086.03125,335.593536376953,0,0,0,0,140,136.42903137207,199.256881713867,0.128163263201714,0,0.0228571426123381,4.08979606628418,0
75,30,"Mixed","547","PGM",47294.6,1576.48666666667,114309.03125,979.070739746094,183.587280273438,0,0,0,0,109.998260498047,137.200225830078,199.893478393555,0.0171428564935923,0,0.0146938776597381,5.28326511383057,0
