ID,Binomial,Group,Nrec,mtry,ntree,TP,FP,TN,FN,ROC,distriver,distroad,DPFpx,edgedist,edgels,edgepx,elevation,meanprecips,meantemps,MFls,SFAgepx,SFls,TSDls,UPFpx,method,Shape_Area,Shape_Area_scaled
1,Abaremacochleata,Trees,20,12,400,16,4,97,3,0.985,0,0.00811174989906274,0.00606017726288118,0.0122471496323905,0.00288558505613799,0.00565153983972384,0.002022528250907,0.0013272685755064,0.00204855779590481,0.0214649109807846,0.0246814725970121,0.00131046859827134,1,0.039420613547683,SDM,6985056305191.21,0.830208566767121
2,Abaremafloribunda,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,7627967578161.89,0.81467284157521
3,Abaremajupunba,Trees,30,3,250,23,7,145,0,0.971918367346939,0,0.0766539245735096,0.0442824128135526,0.230896017328429,0.0527404113524129,0.02723854256189,0.0230436151370812,0.0172943658502113,0.0374541177937476,0.245439192148755,0.0467312532533859,0.112248701280837,1,0.435934303572412,SDM,13031955131654.4,0.68408737962859
4,Abaremamataybifolia,Trees,46,9,550,39,7,229,1,0.991586538461538,0.00520543002213192,0.0138339142587646,0.0269292913409168,0.0994190830267342,0.0208163655711354,0.00193122968137308,0.00732240984924023,0,0.0177368563477341,0.0455252245296911,0.0112439276532579,0.0442356144178395,1,0.0804863947409589,SDM,4271990193423.38,0.895768856828847
5,Abaremapiresii,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5440706136011.92,0.867527246400142
6,Aburriacujubi,Birds,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,220.614301910078,0.822946411750684
7,Abutagrandifolia,Trees,21,7,250,19,2,104,1,0.997530864197531,0.0210915533984834,0.00112480722727342,0.00942088844875744,0.324396804307031,0.0082529747220177,0,0.0155295800298372,0.00423744923712958,0.0124075328830098,0.058820682930065,0.00704060727160167,0.037773780053785,1,0.544985523198626,SDM,12095532151844.1,0.706715712167389
8,Abutapanurensis,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5440706136011.92,0.867527246400142
9,Abutarufescens,Trees,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,13019706775353.4,0.684383356858334
10,Abutasandwithiana,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,8046751271120.39,0.804553080665444
