ID,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,Method,Shape_Area,Shape_Area_scaled
1,Abaremacochleata,20,Trees,0.9 +/- 0.06,0.9 +/- 0.1,93.75 +/- 10.98,94.86 +/- 4.63,0.24 +/- 0.2,SDM,6985056305191.21,0.819078193435166
2,Abaremafloribunda,2,Trees,NA,NA,NA,NA,NA,UPFls_10,7627967578161.89,0.802317355823818
3,Abaremajupunba,30,Trees,0.9 +/- 0.04,0.8 +/- 0.06,88.89 +/- 8.13,93.26 +/- 8.68,0.28 +/- 0.21,SDM,13031955131654.4,0.661434217440949
4,Abaremamataybifolia,46,Trees,0.9 +/- 0.04,0.8 +/- 0.09,89.9 +/- 8.94,92.14 +/- 6.8,0.17 +/- 0.13,SDM,4271990193423.38,0.889808420824204
5,Abaremapiresii,1,Trees,NA,NA,NA,NA,NA,UPFls_10,5440706136011.92,0.859339740384044
6,Abaremasp,1,Trees,NA,NA,NA,NA,NA,Excluded,NA,NA
7,Aburriacujubi,6,Birds,1 +/- 0.05,1 +/- 0.07,100 +/- 0,96.09 +/- 7.24,0.31 +/- 0.13,UPFls_10,220.614301910078,0.905378619329921
8,Abutagrandifolia,21,Trees,0.9 +/- 0.05,0.9 +/- 0.11,93.06 +/- 11.36,92.72 +/- 8.38,0.2 +/- 0.15,SDM,12095532151844.1,0.68584696949554
9,Abutapanurensis,2,Trees,NA,NA,NA,NA,NA,UPFls_10,5440706136011.92,0.859339740384044
10,Abutarufescens,7,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.96 +/- 5.65,0.33 +/- 0.09,UPFls_10,13019706775353.4,0.661753534770723
11,Abutasandwithiana,3,Trees,NA,NA,NA,NA,NA,UPFls_10,8046751271120.39,0.791399573282029
12,Abutasolimoesensis,1,Trees,NA,NA,NA,NA,NA,UPFls_10,6735711263899.46,0.825578673240062
13,Accipitersuperciliosus,1,Birds,NA,NA,NA,NA,NA,UPFls_10,682.644276695353,0.698100461848331
14,Adenocalymmaallamandiflorum,53,Trees,0.9 +/- 0.04,0.8 +/- 0.06,86.97 +/- 7.8,93.57 +/- 5.28,0.17 +/- 0.08,SDM,6301191180507.12,0.836906706924954
15,Adenocalymmabracteosum,21,Trees,1 +/- 0.05,1 +/- 0.09,96.71 +/- 8.56,98.85 +/- 1.76,0.3 +/- 0.15,SDM,9153056772235.73,0.762557946711918
16,Adenocalymmaimpressum,3,Trees,NA,NA,NA,NA,NA,UPFls_10,4950860229945.58,0.872110130376158
17,Adenocalymmaneoflavidum,94,Trees,0.9 +/- 0.02,0.7 +/- 0.04,85.34 +/- 9.27,88.84 +/- 8.65,0.16 +/- 0.11,SDM,7876140482998.4,0.795847433872875
18,Adenocalymmaschomburgkii,27,Trees,0.9 +/- 0.04,0.8 +/- 0.08,97.14 +/- 7.17,84.22 +/- 9.12,0.15 +/- 0.1,SDM,9153056772235.73,0.762557946711918
19,Adenocalymmasp,11,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,94.84 +/- 8.74,0.31 +/- 0.22,Excluded,NA,NA
20,Adenocalymmasp1,1,Trees,NA,NA,NA,NA,NA,Excluded,NA,NA
21,Adenocalymmasubincanum,19,Trees,0.9 +/- 0.05,0.9 +/- 0.1,95.97 +/- 9.35,89.92 +/- 10.2,0.23 +/- 0.2,SDM,5460642254958.34,0.858820001399351
22,Adenocalymmatanaeciicarpum,16,Trees,1 +/- 0.02,0.9 +/- 0.07,100 +/- 0,94.66 +/- 6.86,0.29 +/- 0.19,SDM,6089192161612.49,0.842433567751393
23,Aegiphilaintegrifolia,17,Trees,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,88.43 +/- 8.08,0.22 +/- 0.16,SDM,13663930836053.8,0.644958472495909
