"Transectcode","profit","Region","Catchment","Transect","profit_ha","profit_ha_year","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","SFAgepx","SFls","TSDls","UPFpx"
"100_3",80.994409880784,"PGM","100",3,323.977639523136,12.9591055809254,61492.56640625,856.102111816406,70.7253875732422,1,34.9309387207031,0.0399999991059303,0,57.3415870666504,155.212020874023,194.632308959961,0.593469381332397,0,0.0799999982118607,32.4122467041016,0
"100_6",177.891380290219,"PGM","100",6,711.565521160875,28.462620846435,65578.3984375,2184.24096679688,49.8851890563965,1,94.3661804199219,0.0620408169925213,0,70,155.805023193359,193.484817504883,0.635102033615112,0,0.117551021277905,1.74448978900909,0
"103_1",151.746188234146,"STM","103",1,606.984752936583,24.2793901174633,34386.18359375,1533.83801269531,213.565322875977,0,213.565322875977,0.170612245798111,0.666666686534882,168.851654052734,170.432373046875,193.113418579102,0.540408134460449,16.1111106872559,0.504489779472351,30.9942855834961,0
"103_3",334.999197248232,"STM","103",3,1339.99678899293,53.5998715597172,36509.19921875,2520.64038085938,423.206756591797,0,199.925918579102,0.164897963404655,0.444444447755814,164.215866088867,170.470657348633,191.933395385742,0.538775503635406,0,0.243265300989151,144.340408325195,1
"103_7",1805.1181660537,"STM","103",7,7220.4726642148,288.818906568592,32081.6953125,2345.10766601562,622.401245117188,0,332.764373779297,0.22122448682785,0,176.356185913086,171.025177001953,192.205596923828,0.805714309215546,0,0.129795923829079,217.31428527832,1
"103_8",444.255614751672,"STM","103",8,1777.02245900669,71.0808983602675,28245.94921875,1256.55822753906,1083.857421875,0,126.335571289062,0.0653061196208,0,167.909774780273,168.466690063477,198.980606079102,0.34448978304863,0,0.0155102042481303,100.571426391602,1
"112_12",346.480088239302,"STM","112",12,1385.92035295721,55.4368141182883,38540.49609375,965.969482421875,64.9287109375,0,467.882629394531,0.236734688282013,0,126.089515686035,163.29460144043,194.759719848633,0.884897947311401,0,0.00244897953234613,264.559173583984,1
"112_6",545.182722443226,"STM","112",6,2180.7308897729,87.2292355909161,39446.3203125,474.1953125,1011.21545410156,0,41.9681129455566,0.0653061196208,0,103.592308044434,162.919418334961,198.13134765625,0.363265305757523,1.33333337306976,0.0742857158184052,100.411430358887,0.777777791023254
"112_8",358.256071264741,"STM","112",8,1433.02428505896,57.3209714023585,35234.4296875,1074.80737304688,635.698974609375,0,344.091247558594,0.255510210990906,0,139.444763183594,163.76513671875,196.66291809082,0.83020406961441,0,0.0661224499344826,219.249801635742,1
"125_10",647.309039844621,"STM","125",10,2589.23615937848,103.569446375139,42297.4765625,1263.00061035156,975.797912597656,0,254.351516723633,0.142040818929672,1,143.877136230469,163.608108520508,197.5419921875,0.804081618785858,0,0.121632650494576,212.52571105957,1
"125_6",48.1271756384612,"STM","125",6,192.508702553845,7.70034810215379,33439.8828125,1545.21240234375,1739.97729492188,0,44.699779510498,0,0,139.072784423828,164.43376159668,203.371154785156,0.24653060734272,5.88888883590698,0.382040828466415,34.1453056335449,0
