,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
1,Abaremacochleata,20,Trees,0.9 +/- 0.06,0.9 +/- 0.1,93.75 +/- 10.98,94.86 +/- 4.63,0.24 +/- 0.2,1,TRUE
2,Abaremafloribunda,2,Trees,NA,NA,NA,NA,NA,1,FALSE
3,Abaremajupunba,30,Trees,0.9 +/- 0.04,0.8 +/- 0.06,88.89 +/- 8.13,93.26 +/- 8.68,0.28 +/- 0.21,1,TRUE
4,Abaremamataybifolia,46,Trees,0.9 +/- 0.04,0.8 +/- 0.09,89.9 +/- 8.94,92.14 +/- 6.8,0.17 +/- 0.13,1,TRUE
5,Abaremapiresii,1,Trees,NA,NA,NA,NA,NA,1,FALSE
6,Abaremasp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
7,Aburriacujubi,6,Birds,1 +/- 0.05,1 +/- 0.07,100 +/- 0,96.09 +/- 7.24,0.31 +/- 0.13,1,FALSE
8,Abutagrandifolia,21,Trees,0.9 +/- 0.05,0.9 +/- 0.11,93.06 +/- 11.36,92.72 +/- 8.38,0.2 +/- 0.15,1,TRUE
9,Abutapanurensis,2,Trees,NA,NA,NA,NA,NA,1,FALSE
10,Abutarufescens,7,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.96 +/- 5.65,0.33 +/- 0.09,1,FALSE
11,Abutasandwithiana,3,Trees,NA,NA,NA,NA,NA,1,FALSE
12,Abutasolimoesensis,1,Trees,NA,NA,NA,NA,NA,1,FALSE
13,Accipitersuperciliosus,1,Birds,NA,NA,NA,NA,NA,1,FALSE
14,Adenocalymmaallamandiflorum,53,Trees,0.9 +/- 0.04,0.8 +/- 0.06,86.97 +/- 7.8,93.57 +/- 5.28,0.17 +/- 0.08,1,TRUE
15,Adenocalymmabracteosum,21,Trees,1 +/- 0.05,1 +/- 0.09,96.71 +/- 8.56,98.85 +/- 1.76,0.3 +/- 0.15,1,TRUE
16,Adenocalymmaimpressum,3,Trees,NA,NA,NA,NA,NA,1,FALSE
17,Adenocalymmaneoflavidum,94,Trees,0.9 +/- 0.02,0.7 +/- 0.04,85.34 +/- 9.27,88.84 +/- 8.65,0.16 +/- 0.11,1,TRUE
18,Adenocalymmaschomburgkii,27,Trees,0.9 +/- 0.04,0.8 +/- 0.08,97.14 +/- 7.17,84.22 +/- 9.12,0.15 +/- 0.1,1,TRUE
19,Adenocalymmasp,11,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,94.84 +/- 8.74,0.31 +/- 0.22,1,TRUE
20,Adenocalymmasp1,1,Trees,NA,NA,NA,NA,NA,1,FALSE
21,Adenocalymmasubincanum,19,Trees,0.9 +/- 0.05,0.9 +/- 0.1,95.97 +/- 9.35,89.92 +/- 10.2,0.23 +/- 0.2,1,TRUE
22,Adenocalymmatanaeciicarpum,16,Trees,1 +/- 0.02,0.9 +/- 0.07,100 +/- 0,94.66 +/- 6.86,0.29 +/- 0.19,1,TRUE
23,Aegiphilaintegrifolia,17,Trees,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,88.43 +/- 8.08,0.22 +/- 0.16,1,TRUE
24,Agonandrabrasiliensis,10,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.71 +/- 7.37,0.4 +/- 0.21,1,TRUE
25,Aioueaguianensis,3,Trees,NA,NA,NA,NA,NA,1,FALSE
26,Aioueamyristicoides,3,Trees,NA,NA,NA,NA,NA,1,FALSE
27,Aioueasaligna,1,Trees,NA,NA,NA,NA,NA,1,FALSE
28,Aioueasp,3,Trees,NA,NA,NA,NA,NA,1,FALSE
29,Aioueatrinervis,2,Trees,NA,NA,NA,NA,NA,1,FALSE
30,Albiziapedicellaris,11,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,91.13 +/- 9.31,0.28 +/- 0.23,1,TRUE
31,Alchorneopsisfloribunda,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.05 +/- 5.94,0.39 +/- 0.17,1,FALSE
32,Alexagrandiflora,35,Trees,1 +/- 0.04,0.9 +/- 0.09,92.7 +/- 8.94,96.8 +/- 4.74,0.26 +/- 0.17,1,TRUE
33,Alibertiaedulis,13,Trees,0.9 +/- 0.03,0.8 +/- 0.04,100 +/- 0,79.67 +/- 4.28,0.07 +/- 0.04,1,TRUE
34,Alibertiasorbilis,1,Trees,NA,NA,NA,NA,NA,1,FALSE
35,Allophylusfloribundus,5,Trees,0.9 +/- 0.07,0.9 +/- 0.08,100 +/- 0,93.78 +/- 8.28,0.23 +/- 0.12,1,TRUE
36,Amaiouacorymbosa,3,Trees,NA,NA,NA,NA,NA,1,FALSE
37,Amaiouaguianensis,30,Trees,0.9 +/- 0.02,0.8 +/- 0.05,89.68 +/- 8.29,89.02 +/- 9.78,0.17 +/- 0.17,1,TRUE
38,Amazonafarinosa,92,Birds,0.9 +/- 0.04,0.8 +/- 0.05,86.22 +/- 7.54,93.44 +/- 5.55,0.2 +/- 0.24,1,TRUE
39,Amazonaochrocephala,34,Birds,0.9 +/- 0.04,0.8 +/- 0.06,85.71 +/- 10.1,92.25 +/- 9.59,0.23 +/- 0.17,1,TRUE
40,Ambelaniaacida,37,Trees,0.9 +/- 0.05,0.8 +/- 0.07,89.16 +/- 8.24,90.65 +/- 8.25,0.24 +/- 0.23,1,TRUE
41,Ampeloceraedentula,17,Trees,1 +/- 0.03,0.9 +/- 0.08,100 +/- 0,91.12 +/- 8.32,0.17 +/- 0.18,1,TRUE
42,Ampelozizyphusamazonicus,4,Trees,NA,NA,NA,NA,NA,1,FALSE
43,Amphiodoneffusus,149,Trees,0.9 +/- 0.02,0.7 +/- 0.05,83.1 +/- 6.23,84.21 +/- 6.13,0.09 +/- 0.05,1,TRUE
44,Amphirrhoxlongifolia,27,Trees,0.9 +/- 0.06,0.9 +/- 0.1,89.44 +/- 10.13,96.86 +/- 3.22,0.23 +/- 0.09,1,TRUE
45,Amphirrhoxsp,2,Trees,NA,NA,NA,NA,NA,1,FALSE
46,Anacardiumgiganteum,4,Trees,NA,NA,NA,NA,NA,1,FALSE
47,Anacardiumparvifolium,8,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,94.24 +/- 7.73,0.32 +/- 0.16,1,TRUE
48,Anacardiumspruceanum,5,Trees,1 +/- 0.07,1 +/- 0.07,100 +/- 0,92.95 +/- 21.41,0.36 +/- 0.14,1,FALSE
49,Anaxagoreabrevipes,13,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.19 +/- 3.82,0.33 +/- 0.17,1,TRUE
50,Anaxagoreaprinoides,5,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.49 +/- 6.12,0.33 +/- 0.12,1,FALSE
51,Anaxagoreasp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
52,Ancistropsstrigilatus,7,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.24 +/- 6.63,0.34 +/- 0.1,1,FALSE
53,Anibaburchellii,3,Trees,NA,NA,NA,NA,NA,1,FALSE
54,Anibacanelilla,15,Trees,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.15 +/- 2.82,0.31 +/- 0.11,1,TRUE
55,Anibacitrifolia,1,Trees,NA,NA,NA,NA,NA,1,FALSE
56,Anibaguianensis,17,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,86.63 +/- 9.51,0.11 +/- 0.07,1,TRUE
57,Anibahostmanniana,2,Trees,NA,NA,NA,NA,NA,1,FALSE
58,Anibakappleri,2,Trees,NA,NA,NA,NA,NA,1,FALSE
59,Anibamegaphylla,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.18 +/- 6.5,0.31 +/- 0.18,1,TRUE
60,Anibaparviflora,3,Trees,NA,NA,NA,NA,NA,1,FALSE
61,Anibariparia,4,Trees,NA,NA,NA,NA,NA,1,FALSE
62,Anibarosaeodora,3,Trees,NA,NA,NA,NA,NA,1,FALSE
63,Anibawilliamsii,11,Trees,0.9 +/- 0.07,0.9 +/- 0.1,100 +/- 0,90.73 +/- 9.66,0.33 +/- 0.26,1,TRUE
64,Annonaambotay,4,Trees,NA,NA,NA,NA,NA,1,FALSE
65,Annonadensicoma,34,Trees,0.9 +/- 0.05,0.8 +/- 0.1,87.91 +/- 9.64,93.92 +/- 5.94,0.23 +/- 0.18,1,TRUE
66,Annonaexsucca,136,Trees,0.9 +/- 0.04,0.7 +/- 0.05,84.6 +/- 8.84,81.94 +/- 8.87,0.13 +/- 0.05,1,TRUE
67,Annonatenuipes,17,Trees,0.9 +/- 0.04,0.9 +/- 0.1,100 +/- 0,85.04 +/- 9.97,0.23 +/- 0.25,1,TRUE
68,Anodorhynchushyacinthinus,1,Birds,NA,NA,NA,NA,NA,1,FALSE
69,Anomalocalyxsp,1,Trees,NA,NA,NA,NA,NA,1,FALSE
70,Anomospermumreticulatum,1,Trees,NA,NA,NA,NA,NA,1,FALSE
71,Antrostomussericocaudatus,6,Birds,1 +/- 0.04,1 +/- 0.06,100 +/- 0,97.33 +/- 6.07,0.33 +/- 0.1,1,FALSE
72,Aparisthmiumcordatum,38,Trees,0.9 +/- 0.03,0.8 +/- 0.08,90.34 +/- 10.16,88.48 +/- 10.32,0.16 +/- 0.09,1,TRUE
73,Apeibaechinata,53,Trees,0.9 +/- 0.05,0.8 +/- 0.07,87.66 +/- 10.27,91.4 +/- 5.99,0.18 +/- 0.21,1,TRUE
74,Apeibaglabra,63,Trees,0.9 +/- 0.02,0.8 +/- 0.04,92.31 +/- 7.17,84.27 +/- 7.56,0.14 +/- 0.1,1,TRUE
75,Apeibatibourbou,36,Trees,0.9 +/- 0.02,0.8 +/- 0.06,98.81 +/- 4.03,83.78 +/- 6.34,0.15 +/- 0.06,1,TRUE
76,Apuleialeiocarpa,19,Trees,0.9 +/- 0.06,0.9 +/- 0.09,93.24 +/- 11.26,91.86 +/- 6.52,0.27 +/- 0.18,1,TRUE
